Name,Identifier,Weight,Sector,Shares Held
PNC Financial Services Group Inc.,PNC,0.234455,Financials,4834156.000
Target Corporation,TGT,0.224413,Consumer Discretionary,5501881.000
Prologis Inc.,PLD,0.217631,Real Estate,6754144.000
Ecolab Inc.,ECL,0.215559,Materials,2715968.000
Intercontinental Exchange Inc.,ICE,0.214469,Financials,6042368.000
Raytheon Company,RTN,0.213939,Industrials,2982448.000
Morgan Stanley,MS,0.211503,Financials,13690265.000
General Dynamics Corporation,GD,0.209184,Industrials,2907286.000
CSX Corporation,CSX,0.209002,Industrials,8236881.000
DuPont de Nemours Inc.,DD,0.208430,Materials,8028630.000
Marsh & McLennan Companies Inc.,MMC,0.206217,Financials,5475500.000
BlackRock Inc.,BLK,0.204823,Financials,1274215.000
Micron Technology Inc.,MU,0.204160,Information Technology,11884050.000
Allergan plc,AGN,0.203721,Health Care,3299714.000
Air Products and Chemicals Inc.,APD,0.203708,Materials,2357018.000
Deere & Company,DE,0.202267,Industrials,3393395.000
General Motors Company,GM,0.201911,Consumer Discretionary,14125206.000
Kimberly-Clark Corporation,KMB,0.200809,Consumer Staples,3691860.000
Vertex Pharmaceuticals Incorporated,VRTX,0.194446,Health Care,2751012.000
L3Harris Technologies Inc,LHX,0.193967,Industrials,2370246.000
Aon plc,AON,0.192349,Financials,2582841.000
American International Group Inc.,AIG,0.192168,Financials,9319220.000
Equinix Inc.,EQIX,0.192044,Real Estate,902897.000
Schlumberger NV,SLB,0.191475,Energy,14805796.000
Waste Management Inc.,WM,0.190051,Industrials,4195729.000
Norfolk Southern Corporation,NSC,0.189888,Industrials,2848068.000
Simon Property Group Inc.,SPG,0.188265,Real Estate,3300171.000
Illinois Tool Works Inc.,ITW,0.187058,Industrials,3211830.000
Edwards Lifesciences Corporation,EW,0.186113,Health Care,2239004.000
Biogen Inc.,BIIB,0.185360,Health Care,2082060.000
Charles Schwab Corporation,SCHW,0.184563,Financials,12703587.000
Progressive Corporation,PGR,0.184417,Financials,6237230.000
American Electric Power Company Inc.,AEP,0.183912,Utilities,5269754.000
Estee Lauder Companies Inc. Class A,EL,0.183024,Consumer Staples,2355222.000
Exelon Corporation,EXC,0.182104,Utilities,10427837.000
Applied Materials Inc.,AMAT,0.181369,Information Technology,10052310.000
MetLife Inc.,MET,0.180532,Financials,10183453.000
EOG Resources Inc.,EOG,0.180021,Energy,6214362.000
Sherwin-Williams Company,SHW,0.174766,Materials,870199.000
Illumina Inc.,ILMN,0.173842,Health Care,1570240.000
Baxter International Inc.,BAX,0.170331,Health Care,5091027.000
Phillips 66,PSX,0.169415,Energy,4485076.000
Capital One Financial Corporation,COF,0.165874,Financials,5043390.000
Analog Devices Inc.,ADI,0.165503,Information Technology,3971296.000
Occidental Petroleum Corporation,OXY,0.164376,Energy,9585335.000
Walgreens Boots Alliance Inc,WBA,0.163141,Consumer Staples,8346357.000
Ross Stores Inc.,ROST,0.162571,Consumer Discretionary,3945617.000
Kinder Morgan Inc Class P,KMI,0.161192,Energy,20800322.000
Public Storage,PSA,0.161049,Real Estate,1602932.000
Humana Inc.,HUM,0.160313,Health Care,1446831.000
Travelers Companies Inc.,TRV,0.159126,Financials,2806174.000
Sempra Energy,SRE,0.157397,Utilities,2927806.000
FedEx Corporation,FDX,0.155545,Industrials,2564498.000
Activision Blizzard Inc.,ATVI,0.154907,Communication Services,8227034.000
Bank of New York Mellon Corporation,BK,0.153061,Financials,9461036.000
Aflac Incorporated,AFL,0.152064,Financials,8005927.000
Roper Technologies Inc.,ROP,0.151933,Industrials,1115172.000
Dollar General Corporation,DG,0.148689,Consumer Discretionary,2773555.000
Welltower Inc.,WELL,0.148329,Real Estate,4349122.000
Yum! Brands Inc.,YUM,0.147317,Consumer Discretionary,3273361.000
BB&T Corporation,BBT,0.147290,Financials,8224703.000
Emerson Electric Co.,EMR,0.147041,Industrials,6585573.000
Moody's Corporation,MCO,0.146971,Financials,1767299.000
Marriott International Inc. Class A,MAR,0.145989,Consumer Discretionary,2968550.000
Ford Motor Company,F,0.145954,Consumer Discretionary,42084890.000
Cognizant Technology Solutions Corporation Class A,CTSH,0.143524,Information Technology,6112931.000
Allstate Corporation,ALL,0.143432,Financials,3577732.000
Delta Air Lines Inc.,DAL,0.142249,Industrials,6397344.000
Sysco Corporation,SYY,0.142034,Consumer Staples,5051555.000
Constellation Brands Inc. Class A,STZ,0.138914,Consumer Staples,1795580.000
Johnson Controls International plc,JCI,0.138131,Industrials,8546269.000
Prudential Financial Inc.,PRU,0.137305,Financials,4360386.000
Eaton Corp. Plc,ETN,0.136309,Industrials,4533691.000
eBay Inc.,EBAY,0.135019,Consumer Discretionary,8798571.000
General Mills Inc.,GIS,0.134887,Consumer Staples,6430133.000
Xcel Energy Inc.,XEL,0.134187,Utilities,5527404.000
HCA Healthcare Inc,HCA,0.133702,Health Care,2851025.000
Valero Energy Corporation,VLO,0.133068,Energy,4480196.000
Autodesk Inc.,ADSK,0.131414,Information Technology,2358973.000
Lam Research Corporation,LRCX,0.129974,Information Technology,1609766.000
Newmont Goldcorp Corporation,NEM,0.129564,Materials,8774332.000
Dow Inc.,DOW,0.129424,Materials,8022795.000
Marathon Petroleum Corporation,MPC,0.127992,Energy,7115105.000
Twitter Inc.,TWTR,0.126492,Communication Services,7816887.000
TE Connectivity Ltd.,TEL,0.125915,Information Technology,3617472.000
Equity Residential,EQR,0.125827,Real Estate,3951611.000
O'Reilly Automotive Inc.,ORLY,0.123230,Consumer Discretionary,840478.000
Public Service Enterprise Group Inc,PEG,0.122574,Utilities,5399754.000
Motorola Solutions Inc.,MSI,0.121332,Information Technology,1769524.000
SBA Communications Corp. Class A,SBAC,0.121107,Real Estate,1211685.000
WEC Energy Group Inc,WEC,0.120386,Utilities,3369121.000
AvalonBay Communities Inc.,AVB,0.120008,Real Estate,1497581.000
ONEOK Inc.,OKE,0.119135,Energy,4418589.000
Consolidated Edison Inc.,ED,0.118909,Utilities,3512579.000
HP Inc.,HPQ,0.117465,Information Technology,16174603.000
Ingersoll-Rand Plc,IR,0.117288,Industrials,2591118.000
Williams Companies Inc.,WMB,0.117122,Energy,12936137.000
Advanced Micro Devices Inc.,AMD,0.116565,Information Technology,9524754.000
Electronic Arts Inc.,EA,0.115623,Communication Services,3185208.000
McKesson Corporation,MCK,0.115377,Health Care,2035344.000
Zimmer Biomet Holdings Inc.,ZBH,0.114866,Health Care,2183743.000
Alexion Pharmaceuticals Inc.,ALXN,0.113724,Health Care,2400484.000
Tyson Foods Inc. Class A,TSN,0.111339,Consumer Staples,3166257.000
Hilton Worldwide Holdings Inc,HLT,0.110810,Consumer Discretionary,3125616.000
SunTrust Banks Inc.,STI,0.110663,Financials,4734201.000
Ventas Inc.,VTR,0.110597,Real Estate,3967559.000
Ball Corporation,BLL,0.109996,Materials,3594759.000
AutoZone Inc.,AZO,0.109285,Consumer Discretionary,263386.000
Xilinx Inc.,XLNX,0.108904,Information Technology,2718295.000
V.F. Corporation,VFC,0.108350,Consumer Discretionary,3486319.000
Amphenol Corporation Class A,APH,0.108117,Information Technology,3207950.000
Paychex Inc.,PAYX,0.107866,Information Technology,3418827.000
PPG Industries Inc.,PPG,0.107098,Materials,2535536.000
TransDigm Group Incorporated,TDG,0.106540,Industrials,523723.000
FleetCor Technologies Inc.,FLT,0.106422,Information Technology,923283.000
T. Rowe Price Group,TROW,0.106347,Financials,2538992.000
Discover Financial Services,DFS,0.106257,Financials,3476044.000
Verisk Analytics Inc,VRSK,0.106237,Industrials,1752092.000
Edison International,EIX,0.105947,Utilities,3791872.000
Eversource Energy,ES,0.105543,Utilities,3448786.000
Digital Realty Trust Inc.,DLR,0.104651,Real Estate,2220115.000
Global Payments Inc.,GPN,0.104331,Information Technology,1675921.000
Southwest Airlines Co.,LUV,0.103064,Industrials,5248071.000
Willis Towers Watson Public Limited Company,WLTW,0.102805,Financials,1379177.000
IQVIA Holdings Inc,IQV,0.101569,Health Care,1691170.000
T-Mobile US Inc.,TMUS,0.100985,Communication Services,3383861.000
IDEXX Laboratories Inc.,IDXX,0.098852,Health Care,920641.000
DTE Energy Company,DTE,0.098004,Utilities,1961304.000
KLA Corporation,KLAC,0.095581,Information Technology,1735334.000
Cerner Corporation,CERN,0.095576,Health Care,3475575.000
IHS Markit Ltd.,INFO,0.095528,Industrials,3882810.000
Regeneron Pharmaceuticals Inc.,REGN,0.095287,Health Care,841897.000
Dollar Tree Inc.,DLTR,0.094829,Consumer Discretionary,2542765.000
Realty Income Corporation,O,0.094786,Real Estate,3381302.000
FirstEnergy Corp.,FE,0.094352,Utilities,5381627.000
Agilent Technologies Inc.,A,0.093394,Health Care,3393388.000
Corteva Inc,CTVA,0.093300,Materials,8028945.000
American Water Works Company Inc.,AWK,0.092495,Utilities,1933436.000
Monster Beverage Corporation,MNST,0.092183,Consumer Staples,4201539.000
Cintas Corporation,CTAS,0.092151,Industrials,908069.000
PACCAR Inc,PCAR,0.091376,Industrials,3696206.000
Corning Inc,GLW,0.090860,Information Technology,8404436.000
Hershey Company,HSY,0.090603,Consumer Staples,1491145.000
Aptiv PLC,APTV,0.088718,Consumer Discretionary,2768860.000
PPL Corporation,PPL,0.088673,Utilities,7751045.000
VeriSign Inc.,VRSN,0.088461,Information Technology,1123699.000
Hartford Financial Services Group Inc.,HIG,0.088306,Financials,3869884.000
Total System Services Inc.,TSS,0.087907,Information Technology,1748621.000
Pioneer Natural Resources Company,PXD,0.087204,Energy,1803023.000
Archer-Daniels-Midland Company,ADM,0.087181,Consumer Staples,5991224.000
Microchip Technology Incorporated,MCHP,0.087005,Information Technology,2531704.000
Cummins Inc.,CMI,0.086957,Industrials,1545290.000
Parker-Hannifin Corporation,PH,0.086899,Industrials,1377394.000
Essex Property Trust Inc.,ESS,0.086558,Real Estate,702901.000
Entergy Corporation,ETR,0.086508,Utilities,2025808.000
Stanley Black & Decker Inc.,SWK,0.086293,Industrials,1621948.000
Synchrony Financial,SYF,0.085904,Financials,6810180.000
Synopsys Inc.,SNPS,0.085240,Information Technology,1598480.000
Fortive Corp.,FTV,0.084753,Industrials,3167285.000
Clorox Company,CLX,0.083694,Consumer Staples,1370779.000
M&T Bank Corporation,MTB,0.083283,Financials,1463741.000
LyondellBasell Industries NV,LYB,0.081631,Materials,2949544.000
Chipotle Mexican Grill Inc.,CMG,0.081619,Consumer Discretionary,259719.000
McCormick & Company Incorporated,MKC,0.081609,Consumer Staples,1310028.000
MSCI Inc. Class A,MSCI,0.081531,Financials,900506.000
Boston Properties Inc.,BXP,0.081033,Real Estate,1651083.000
Cadence Design Systems Inc.,CDNS,0.080839,Information Technology,3018431.000
AMETEK Inc.,AME,0.080025,Industrials,2432008.000
Church & Dwight Co. Inc.,CHD,0.079947,Consumer Staples,2627231.000
ResMed Inc.,RMD,0.079879,Health Care,1530534.000
Kroger Co.,KR,0.078668,Consumer Staples,8663180.000
Republic Services Inc.,RSG,0.078638,Industrials,2302618.000
State Street Corporation,STT,0.078621,Financials,4007341.000
Weyerhaeuser Company,WY,0.078265,Real Estate,7956548.000
Northern Trust Corporation,NTRS,0.078096,Financials,2332617.000
Vulcan Materials Company,VMC,0.078018,Materials,1418541.000
United Airlines Holdings Inc.,UAL,0.077912,Industrials,2373621.000
Keysight Technologies Inc,KEYS,0.077312,Information Technology,2008199.000
Fifth Third Bancorp,FITB,0.077235,Financials,7809228.000
Centene Corporation,CNC,0.077136,Health Care,4414138.000
Ameren Corporation,AEE,0.077013,Utilities,2613163.000
Ulta Beauty Inc,ULTA,0.076465,Consumer Discretionary,595201.000
Royal Caribbean Cruises Ltd.,RCL,0.075317,Consumer Discretionary,1834286.000
ANSYS Inc.,ANSS,0.075066,Information Technology,901281.000
Expedia Group Inc.,EXPE,0.074511,Consumer Discretionary,1485222.000
Rockwell Automation Inc.,ROK,0.074356,Industrials,1270857.000
Carnival Corporation,CCL,0.073811,Consumer Discretionary,4266956.000
Hewlett Packard Enterprise Co.,HPE,0.073095,Information Technology,14379648.000
CMS Energy Corporation,CMS,0.072642,Utilities,3047148.000
Fastenal Company,FAST,0.072169,Industrials,6121597.000
Equifax Inc.,EFX,0.071290,Industrials,1291266.000
Ameriprise Financial Inc.,AMP,0.070784,Financials,1434958.000
Omnicom Group Inc,OMC,0.070228,Communication Services,2366306.000
D.R. Horton Inc.,DHI,0.069674,Consumer Discretionary,3607724.000
Teleflex Incorporated,TFX,0.069614,Health Care,495569.000
Cincinnati Financial Corporation,CINF,0.069394,Financials,1629138.000
Arthur J. Gallagher & Co.,AJG,0.069137,Financials,1983205.000
Alexandria Real Estate Equities Inc.,ARE,0.069043,Real Estate,1204528.000
Western Digital Corporation,WDC,0.068733,Information Technology,3146472.000
KeyCorp,KEY,0.068495,Financials,10774981.000
Laboratory Corporation of America Holdings,LH,0.068142,Health Care,1057639.000
HCP Inc.,HCP,0.067783,Real Estate,5116854.000
Mettler-Toledo International Inc.,MTD,0.067641,Health Care,265660.000
Hess Corporation,HES,0.066716,Energy,2719351.000
Cooper Companies Inc.,COO,0.066632,Health Care,526606.000
Halliburton Company,HAL,0.066585,Energy,9296331.000
CBRE Group Inc. Class A,CBRE,0.066436,Real Estate,3339241.000
Best Buy Co. Inc.,BBY,0.065706,Consumer Discretionary,2489378.000
Kellogg Company,K,0.065510,Consumer Staples,2673542.000
Evergy Inc.,EVRG,0.065471,Utilities,2621458.000
Martin Marietta Materials Inc.,MLM,0.065459,Materials,668837.000
Kraft Heinz Company,KHC,0.065384,Consumer Staples,6652287.000
Amcor PLC,AMCR,0.063797,Materials,17431392.000
International Paper Company,IP,0.063471,Materials,4257423.000
Extra Space Storage Inc.,EXR,0.063412,Real Estate,1361869.000
Copart Inc.,CPRT,0.063130,Industrials,2158381.000
CBS Corporation Class B,CBS,0.063030,Communication Services,3779477.000
Diamondback Energy Inc.,FANG,0.062920,Energy,1652821.000
Incyte Corporation,INCY,0.062291,Health Care,1897713.000
First Republic Bank,FRC,0.062116,Financials,1765487.000
Broadridge Financial Solutions Inc.,BR,0.062097,Information Technology,1243290.000
Citizens Financial Group Inc.,CFG,0.061881,Financials,4922180.000
Lennar Corporation Class A,LEN,0.061500,Consumer Discretionary,3082807.000
Nucor Corporation,NUE,0.061440,Materials,3273068.000
Maxim Integrated Products Inc.,MXIM,0.061289,Information Technology,2925426.000
Take-Two Interactive Software Inc.,TTWO,0.061011,Communication Services,1201240.000
MarketAxess Holdings Inc.,MKTX,0.060928,Financials,404587.000
Darden Restaurants Inc.,DRI,0.060722,Consumer Discretionary,1309167.000
Concho Resources Inc.,CXO,0.060129,Energy,2145558.000
Waters Corporation,WAT,0.060078,Health Care,745746.000
Symantec Corporation,SYMC,0.059924,Information Technology,6638271.000
Akamai Technologies Inc.,AKAM,0.059793,Information Technology,1756722.000
MGM Resorts International,MGM,0.059755,Consumer Discretionary,5463261.000
Regions Financial Corporation,RF,0.059356,Financials,10857461.000
Mid-America Apartment Communities Inc.,MAA,0.059328,Real Estate,1218258.000
Celanese Corporation,CE,0.059190,Materials,1356476.000
Principal Financial Group Inc.,PFG,0.057601,Financials,2775830.000
CenterPoint Energy Inc.,CNP,0.057543,Utilities,5353030.000
Conagra Brands Inc.,CAG,0.057473,Consumer Staples,5201773.000
CarMax Inc.,KMX,0.057332,Consumer Discretionary,1785040.000
Quest Diagnostics Incorporated,DGX,0.056189,Health Care,1427230.000
UDR Inc.,UDR,0.055932,Real Estate,3026008.000
Huntington Bancshares Incorporated,HBAN,0.055920,Financials,11290578.000
Xylem Inc.,XYL,0.055682,Industrials,1920632.000
WellCare Health Plans Inc.,WCG,0.055285,Health Care,540329.000
Cboe Global Markets Inc,CBOE,0.055006,Financials,1195926.000
Hologic Inc.,HOLX,0.054943,Health Care,2872923.000
Skyworks Solutions Inc.,SWKS,0.054730,Information Technology,1854641.000
AmerisourceBergen Corporation,ABC,0.054699,Health Care,1666609.000
Freeport-McMoRan Inc.,FCX,0.054560,Materials,15576810.000
Dover Corporation,DOV,0.054432,Industrials,1560364.000
Hasbro Inc.,HAS,0.054154,Consumer Discretionary,1234449.000
Genuine Parts Company,GPC,0.053810,Consumer Discretionary,1561763.000
Loews Corporation,L,0.053734,Financials,2880789.000
Align Technology Inc.,ALGN,0.053517,Health Care,779448.000
Atmos Energy Corporation,ATO,0.053290,Utilities,1249155.000
Cardinal Health Inc.,CAH,0.053176,Health Care,3167510.000
J.M. Smucker Company,SJM,0.053171,Consumer Staples,1216821.000
DENTSPLY SIRONA Inc.,XRAY,0.051040,Health Care,2512576.000
Kansas City Southern,KSU,0.050914,Industrials,1077227.000
IDEX Corporation,IEX,0.050783,Industrials,802935.000
Alliant Energy Corp,LNT,0.050561,Utilities,2525738.000
W.W. Grainger Inc.,GWW,0.050213,Industrials,479680.000
Leidos Holdings Inc.,LDOS,0.050202,Information Technology,1529438.000
Tractor Supply Company,TSCO,0.049874,Consumer Discretionary,1281441.000
Universal Health Services Inc. Class B,UHS,0.049817,Health Care,889714.000
Expeditors International of Washington Inc.,EXPD,0.049590,Industrials,1840304.000
Seagate Technology PLC,STX,0.049378,Information Technology,2705132.000
Arista Networks Inc.,ANET,0.049350,Information Technology,565984.000
Duke Realty Corporation,DRE,0.049300,Real Estate,3842920.000
Masco Corporation,MAS,0.049045,Industrials,3151923.000
Host Hotels & Resorts Inc.,HST,0.048893,Real Estate,7920858.000
Fortinet Inc.,FTNT,0.048648,Information Technology,1551142.000
Gartner Inc.,IT,0.048531,Information Technology,954158.000
Citrix Systems Inc.,CTXS,0.048277,Information Technology,1353258.000
Hormel Foods Corporation,HRL,0.048025,Consumer Staples,2914615.000
Nasdaq Inc.,NDAQ,0.047873,Financials,1246253.000
Fox Corporation Class A,FOXA,0.047787,Communication Services,3768871.000
NetApp Inc.,NTAP,0.047338,Information Technology,2637721.000
C.H. Robinson Worldwide Inc.,CHRW,0.047094,Industrials,1466255.000
FMC Corporation,FMC,0.046574,Materials,1410639.000
CenturyLink Inc.,CTL,0.045739,Communication Services,10304621.000
Westinghouse Air Brake Technologies Corporation,WAB,0.045488,Industrials,1737041.000
Lincoln National Corporation,LNC,0.045417,Financials,2181784.000
NiSource Inc,NI,0.045251,Utilities,3979525.000
Baker Hughes a GE Company Class A,BHGE,0.045089,Energy,5484319.000
Norwegian Cruise Line Holdings Ltd.,NCLH,0.044951,Consumer Discretionary,2320185.000
Jack Henry & Associates Inc.,JKHY,0.044880,Information Technology,818654.000
International Flavors & Fragrances Inc.,IFF,0.044872,Materials,1085022.000
Regency Centers Corporation,REG,0.044781,Real Estate,1791380.000
Noble Energy Inc.,NBL,0.044282,Energy,5173713.000
CF Industries Holdings Inc.,CF,0.044213,Materials,2374235.000
Pinnacle West Capital Corporation,PNW,0.043893,Utilities,1205749.000
Wynn Resorts Limited,WYNN,0.043692,Consumer Discretionary,1034129.000
American Airlines Group Inc.,AAL,0.043176,Industrials,4242117.000
Textron Inc.,TXT,0.043147,Industrials,2507075.000
Vornado Realty Trust,VNO,0.042825,Real Estate,1854303.000
Lamb Weston Holdings Inc.,LW,0.041792,Consumer Staples,1567190.000
E*TRADE Financial Corporation,ETFC,0.041700,Financials,2631250.000
SVB Financial Group,SIVB,0.041654,Financials,555545.000
TechnipFMC Plc,FTI,0.041589,Energy,4513176.000
AES Corporation,AES,0.041311,Utilities,7084332.000
Marathon Oil Corporation,MRO,0.041308,Energy,8782628.000
Arconic Inc.,ARNC,0.041294,Industrials,4288333.000
Everest Re Group Ltd.,RE,0.041219,Financials,431752.000
Raymond James Financial Inc.,RJF,0.040886,Financials,1356580.000
Jacobs Engineering Group Inc.,JEC,0.040820,Industrials,1229384.000
Advance Auto Parts Inc.,AAP,0.040546,Consumer Discretionary,768634.000
Varian Medical Systems Inc.,VAR,0.040546,Health Care,976421.000
Avery Dennison Corporation,AVY,0.040403,Materials,916185.000
Mylan N.V.,MYL,0.040307,Health Care,5518180.000
Garmin Ltd.,GRMN,0.039980,Consumer Discretionary,1298121.000
Molson Coors Brewing Company Class B,TAP,0.039865,Consumer Staples,2010283.000
Federal Realty Investment Trust,FRT,0.039828,Real Estate,794437.000
Brown-Forman Corporation Class B,BF-B,0.039674,Consumer Staples,1772309.000
NRG Energy Inc.,NRG,0.039457,Utilities,2868855.000
Devon Energy Corporation,DVN,0.039398,Energy,4459249.000
Packaging Corporation of America,PKG,0.039245,Materials,1011645.000
Comerica Incorporated,CMA,0.039102,Financials,1655670.000
Discovery Inc. Class C,DISCK,0.038885,Communication Services,3859779.000
Western Union Company,WU,0.038773,Information Technology,4614944.000
DXC Technology Co.,DXC,0.037917,Information Technology,2864782.000
Tiffany & Co.,TIF,0.037714,Consumer Discretionary,1151937.000
PerkinElmer Inc.,PKI,0.037577,Health Care,1185811.000
Viacom Inc. Class B,VIAB,0.037574,Communication Services,3785880.000
Henry Schein Inc.,HSIC,0.037566,Health Care,1612913.000
Iron Mountain Inc.,IRM,0.037290,Real Estate,3071101.000
Eastman Chemical Company,EMN,0.037129,Materials,1488944.000
Globe Life Inc.,GL,0.037124,Financials,1095653.000
Allegion PLC,ALLE,0.036860,Industrials,1004087.000
J.B. Hunt Transport Services Inc.,JBHT,0.036365,Industrials,931217.000
ABIOMED Inc.,ABMD,0.036159,Health Care,482262.000
Qorvo Inc.,QRVO,0.036080,Information Technology,1279708.000
Whirlpool Corporation,WHR,0.035970,Consumer Discretionary,673127.000
Huntington Ingalls Industries Inc.,HII,0.035610,Industrials,445105.000
